Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,64601
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,336283
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,61504
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,112566
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,207964
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,219469
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,191150
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,331858
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,522123
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,644,282300
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,262831
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,380530
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,82300
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,310176
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,93097
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,32743
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,143805
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,166371
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,203539
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,168141
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,135398
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,244911
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,371681
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,252212
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,130973
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,218584
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,300000
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,429203
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,55752
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,299115
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,97345
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,153982
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,314159
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,199115
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,109734
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,199115
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,235398
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,309734
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,229203
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,109734
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,169911
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,349557
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,305309
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,192920
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,165486
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,54867
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,130973
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,292035
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,251327
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,253097
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,265486
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,155752
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,340707
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,407079
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,259292
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,94955
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,246017
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,138,54867
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,207079
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,238053
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,200884
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,308849
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,356637
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,272566
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,413716
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,115044
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,179646
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,526548
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,305309
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,164601
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,150442
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,159292
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,174336
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,366371
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,115044
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,132743
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,213,74778
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,211150
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,334513
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,307964
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,517699
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,207079
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,460176
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,192920
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,214159
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,176991
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,101327
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,61946
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,336283
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,376106
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,276991
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,180973
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,80530
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,194690
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,149115
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,161061
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,294690
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,221238
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,157079
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,163,60176
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,92920
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,73008
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,398230
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,169911
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,253982
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,54424
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,326548
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,293238
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,241592
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,205309
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,222123
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,268141
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,211504
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,273451
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,212389
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,176106
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,201769
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,327433
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,279646
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,103982
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,61946
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,339823
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,501769
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,345132
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,423008
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,91592
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,313274
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,40088
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,530973
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,228761
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,486725
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,480530
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,351769
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,197345
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,307964
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,142920
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,163716
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,196460
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,79646
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,172566
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,65929
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,415929
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,200884
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,345132
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,73893
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,176106
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,415929
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,37610
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,84070
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,159292
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,109734
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,232743
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,384955
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,146902
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,284070
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,280530
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,363716
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1369,261061
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,136725
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,185840
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,308849
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,119026
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,334955
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,230088
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,190265
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,381415
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,184513
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,192,71681
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,216814
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,268141
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,276106
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,168141
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,94690
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,110619
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,228318
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,389380
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,65486
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,114159
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,166371
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,203539
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,253982
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,88495
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,226548
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,182743
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,197345
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,190265
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,214159
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,183628
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,250000
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,264601
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,80530
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,181415
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,278761
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,386725
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,451327
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,82035
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,122123
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,198849
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,154867
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,216814
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,185840
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,123893
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,80973
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,192920
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,123008
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,176548
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,910,199115
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,199115
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,93362
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,233628
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,281415
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,149557
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,326548
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,146460
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,240707
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,154867
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,197345
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,237168
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,303539
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,309734
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,51327
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,271681
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,170796
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,779,111504
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,113274
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,86283
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,274336
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,309734
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,208407
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,223008
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,230088
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,233628
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,115044
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,182743
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,458407
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,250442
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,212389
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,175221
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,216814
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,451327
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,547,57522
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,349557
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,340707
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,278761
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,219469
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,221238
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,238938
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,140707
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,201769
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,110619
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,353097
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,243362
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,283185
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,250442
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,209734
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,207964
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,189380
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,59292
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,388495
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,185840
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,132300
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,119469
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,460176
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,325663
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,460176
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,218584
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,346902
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,110176
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,253097
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,168141
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,107079
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,285840
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,381415
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,266371
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,85398
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,349557
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,527433
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,336283
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,343362
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,318584
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,269911
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,209734
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,143212
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,458407
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,464601
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,246230
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,156637
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,914,173451
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,96902
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,215929
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,189823
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,64601
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,140707
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,393805
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,137168
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,408849
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,118141
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,358407
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,385398
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,94690
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,165929
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,234513
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,151327
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,477876
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,248884
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,238053
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,212389
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,199115
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,247345
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,103539
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,298230
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,371681
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,190265
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,128318
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,169292
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,130973
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,265486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,286725
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,307964
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,400000
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,208849
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,66814
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,338053
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,65486
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,144690
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,188053
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,129203
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,86283
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,335398
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,185840
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,314159
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,89380
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,221238
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,226548
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,292035
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,323008
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,361061
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,307964
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,210176
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,469026
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,185840
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,143362
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,90265
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,300884
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,362831
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,221238
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,291150
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,166814
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,165486
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,353982
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,278761
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,74778
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,261061
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,169469
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,163716
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,1327,203539
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,49734
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,278318
